Entidad,Est.2020
Aguascalientes,1395794
Baja California,3729225
Baja California Sur,878830
Campeche,974877
Coahuila de Zaragoza,3132017
Colima,782831
Chiapas,5568648
Chihuahua,3882739
Ciudad de México,9041395
Durango,1847547
Guanajuato,6117205
Guerrero,3657305
Hidalgo,3044937
Jalisco,8363277
México,18075065
Michoacán de Ocampo,4757482
Morelos,2030580
Nayarit,1333853
Nuevo León,5454848
Oaxaca,4127899
Puebla,6481536
Querétaro,2197938
Quintana Roo,1798603
San Luis Potosí,2868906
Sinaloa,3105704
Sonora,3125865
Tabasco,2515926
Tamaulipas,3735589
Tlaxcala,1363576
Veracruz de Ignacio de la Llave,8434163
Yucatán,2252505
Zacatecas,1642388